ComputerName,VolumeID,Location,Type,Parse,MountPoint,ShadowCopyId,FileInfo,i30Info,AttrInfo,Timeline,SecDescr
"DESKTOP-6ABVFQ6",0x94303D7B303D6600,"\\.\IDE#DiskVirtual_HD______________________________1.1.0___#5&35dc7040&0&0.0.0#{53f56307-b6bf-11d0-94f2-00a0c91efb8b},offset=53477376,size=135761674752,sector=512",NTFS,Y,"C:\","{00000000-0000-0000-0000-000000000000}","NTFSInfo_00000000_DiskInterface_0x94303d7b303d6600_.csv","I30Info_00000000_DiskInterface_0x94303d7b303d6600_.csv",,,"SecDescr_00000000_DiskInterface_0x94303d7b303d6600_.csv"
"DESKTOP-6ABVFQ6",0x54C23CD9C23CC0D2,"\\.\IDE#DiskVirtual_HD______________________________1.1.0___#5&35dc7040&0&0.0.0#{53f56307-b6bf-11d0-94f2-00a0c91efb8b},offset=1048576,size=52428800,sector=512",NTFS,Y,,"{00000000-0000-0000-0000-000000000000}","NTFSInfo_00000001_DiskInterface_0x54c23cd9c23cc0d2_.csv","I30Info_00000001_DiskInterface_0x54c23cd9c23cc0d2_.csv",,,"SecDescr_00000001_DiskInterface_0x54c23cd9c23cc0d2_.csv"
"DESKTOP-6ABVFQ6",0x0AFE8D14FE8CF8E9,"\\.\IDE#DiskVirtual_HD______________________________1.1.0___#5&35dc7040&0&0.0.0#{53f56307-b6bf-11d0-94f2-00a0c91efb8b},offset=135815757824,size=547356672,sector=512",NTFS,Y,,"{00000000-0000-0000-0000-000000000000}","NTFSInfo_00000002_DiskInterface_0xafe8d14fe8cf8e9_.csv","I30Info_00000002_DiskInterface_0xafe8d14fe8cf8e9_.csv",,,"SecDescr_00000002_DiskInterface_0xafe8d14fe8cf8e9_.csv"
